date,sport,category,home_team,away_team,market,selection,ai_probability,bookmaker_odds,value,bet_mode,odds_source,result,won,surface,home_matches,away_matches
20260405,Monte Carlo Masters,tennis,Jannik Sinner,Alexander Zverev,Player 2 Win,Alexander Zverev,0.2356,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,87,105
20260405,Monte Carlo Masters,tennis,Alexander Bublik,Carlos Alcaraz,Player 1 Win,Alexander Bublik,0.1245,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,78,100
20260405,Monte Carlo Masters,tennis,Alexander Bublik,Carlos Alcaraz,Player 2 Win,Carlos Alcaraz,0.8755,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,78,100
20260405,Monte Carlo Masters,tennis,Valentin Vacherot,Alex De Minaur,Player 1 Win,Valentin Vacherot,0.3285,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,38,99
20260405,Monte Carlo Masters,tennis,Valentin Vacherot,Alex De Minaur,Player 2 Win,Alex De Minaur,0.6715,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,38,99
20260405,Monte Carlo Masters,tennis,Joao Fonseca,Alexander Zverev,Player 1 Win,Joao Fonseca,0.2291,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,56,106
20260405,Monte Carlo Masters,tennis,Joao Fonseca,Alexander Zverev,Player 2 Win,Alexander Zverev,0.7709,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,56,106
20260405,Monte Carlo Masters,tennis,Jannik Sinner,Felix Auger Aliassime,Player 1 Win,Jannik Sinner,0.8557,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,88,98
20260405,Monte Carlo Masters,tennis,Jannik Sinner,Felix Auger Aliassime,Player 2 Win,Felix Auger Aliassime,0.1443,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,88,98
20260405,Monte Carlo Masters,tennis,Tomas Martin Etcheverry,Carlos Alcaraz,Player 1 Win,Tomas Martin Etcheverry,0.0891,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,80,101
20260405,Monte Carlo Masters,tennis,Tomas Martin Etcheverry,Carlos Alcaraz,Player 2 Win,Carlos Alcaraz,0.9109,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,80,101
20260405,Monte Carlo Masters,tennis,Alexander Bublik,Jiri Lehecka,Player 1 Win,Alexander Bublik,0.4367,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,79,83
20260405,Monte Carlo Masters,tennis,Alexander Bublik,Jiri Lehecka,Player 2 Win,Jiri Lehecka,0.5633,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,79,83
20260405,Monte Carlo Masters,tennis,Hubert Hurkacz,Valentin Vacherot,Player 1 Win,Hubert Hurkacz,0.2046,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,40,39
20260405,Monte Carlo Masters,tennis,Hubert Hurkacz,Valentin Vacherot,Player 2 Win,Valentin Vacherot,0.7954,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,40,39
20260405,Monte Carlo Masters,tennis,Alex De Minaur,Cameron Norrie,Player 1 Win,Alex De Minaur,0.7044,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,100,77
20260405,Monte Carlo Masters,tennis,Alex De Minaur,Cameron Norrie,Player 2 Win,Cameron Norrie,0.2956,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,100,77
20260405,Monte Carlo Masters,tennis,Gael Monfils,Alexander Bublik,Player 1 Win,Gael Monfils,0.1118,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,41,80
20260405,Monte Carlo Masters,tennis,Gael Monfils,Alexander Bublik,Player 2 Win,Alexander Bublik,0.8882,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,41,80
20260405,Monte Carlo Masters,tennis,Valentin Vacherot,Lorenzo Musetti,Player 1 Win,Valentin Vacherot,0.4258,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,40,78
20260405,Monte Carlo Masters,tennis,Valentin Vacherot,Lorenzo Musetti,Player 2 Win,Lorenzo Musetti,0.5742,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,40,78
20260405,Monte Carlo Masters,tennis,Fabian Marozsan,Hubert Hurkacz,Player 1 Win,Fabian Marozsan,0.5636,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,70,41
20260405,Monte Carlo Masters,tennis,Fabian Marozsan,Hubert Hurkacz,Player 2 Win,Hubert Hurkacz,0.4364,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,70,41
20260405,Monte Carlo Masters,tennis,Jannik Sinner,Carlos Alcaraz,Player 1 Win,Jannik Sinner,0.5721,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,89,102
20260405,Monte Carlo Masters,tennis,Jannik Sinner,Carlos Alcaraz,Player 2 Win,Carlos Alcaraz,0.4279,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,89,102
20260405,Monte Carlo Masters,tennis,Flavio Cobolli,Alexander Blockx,Player 1 Win,Flavio Cobolli,0.7631,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,78,17
20260405,Monte Carlo Masters,tennis,Flavio Cobolli,Alexander Blockx,Player 2 Win,Alexander Blockx,0.2369,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,78,17
20260405,Monte Carlo Masters,tennis,Carlos Alcaraz,Valentin Vacherot,Player 1 Win,Carlos Alcaraz,0.8416,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,103,41
20260405,Monte Carlo Masters,tennis,Carlos Alcaraz,Valentin Vacherot,Player 2 Win,Valentin Vacherot,0.1584,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,103,41
20260406,Linz,tennis,Lilli Tagger,Anastasia Potapova,Player 1 Win,Lilli Tagger,0.4879,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,9,52
20260406,Linz,tennis,Lilli Tagger,Anastasia Potapova,Player 2 Win,Anastasia Potapova,0.5121,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,9,52
20260406,Linz,tennis,Donna Vekic,Anhelina Kalinina,Player 1 Win,Donna Vekic,0.5758,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,44,22
20260406,Linz,tennis,Donna Vekic,Anhelina Kalinina,Player 2 Win,Anhelina Kalinina,0.4242,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,44,22
20260406,Linz,tennis,Liudmila Samsonova,Lilli Tagger,Player 1 Win,Liudmila Samsonova,0.6197,,,BACKTEST,tennis-model-backtest,LOSS,0,Clay,65,10
20260406,Linz,tennis,Liudmila Samsonova,Lilli Tagger,Player 2 Win,Lilli Tagger,0.3803,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,65,10
20260406,Linz,tennis,Anastasia Potapova,Tamara Korpatsch,Player 1 Win,Anastasia Potapova,0.5612,,,BACKTEST,tennis-model-backtest,WIN,1,Clay,53,11
