category,market,probability_bucket,bets,wins,raw_winrate,smoothed_winrate,avg_probability,avg_odds,additive_adjustment,action
football,Home Win,50-55,28,9,0.32142857142857145,0.3672515873015873,0.5276321428571429,1.7453571428571428,-0.06,REDUCE
football,Home Win,55-60,24,16,0.6666666666666666,0.6435458333333334,0.5741833333333334,1.5820833333333333,0.04,BOOST
football,Home Win,60-65,19,10,0.5263157894736842,0.5552436647173489,0.6239473684210527,1.4410526315789474,-0.06,REDUCE
football,Home Win,65-70,15,10,0.6666666666666666,0.6689507246376811,0.6732333333333334,1.35,-0.004282608695652224,KEEP
football,Home Win,70-75,12,10,0.8333333333333334,0.7903833333333333,0.7259583333333334,1.2408333333333335,0.04,BOOST
football,Home Win,75-80,3,0,0.0,0.5620363636363637,0.7728,1.2233333333333334,-0.06,REDUCE
football,Home Win,80-85,3,2,0.6666666666666666,0.7704,0.8093,1.1133333333333333,-0.038900000000000046,REDUCE
football,__all__,00-05,1,0,0.0,0.04204444444444445,0.0473,17.0,-0.005255555555555555,KEEP
football,__all__,05-10,13,1,0.07692307692307693,0.0781010989010989,0.08001538461538461,12.423076923076923,-0.0019142857142857156,KEEP
football,__all__,10-15,38,9,0.23684210526315788,0.21771441647597256,0.1268578947368421,8.638157894736842,0.04,BOOST
football,__all__,15-20,70,8,0.11428571428571428,0.12078446886446886,0.17764857142857143,5.893,-0.05686410256410257,REDUCE
football,__all__,20-25,195,51,0.26153846153846155,0.26029407098648477,0.22996205128205127,4.337128205128205,0.0303320197044335,BOOST
football,__all__,25-30,276,83,0.3007246376811594,0.29987437232088177,0.27054021739130435,3.528514492753623,0.029334154929577416,BOOST
football,__all__,30-35,91,29,0.31868131868131866,0.3190302142302142,0.3229989010989011,2.9862637362637363,-0.003968686868686899,KEEP
football,__all__,35-40,62,20,0.3225806451612903,0.32889935483870963,0.3778693548387097,2.5245161290322584,-0.04897000000000007,REDUCE
football,__all__,40-45,78,31,0.3974358974358974,0.39999761478831247,0.42497435897435903,2.2221794871794875,-0.024976744186046562,REDUCE
football,__all__,45-50,82,36,0.43902439024390244,0.44220260162601627,0.4747792682926829,1.9571951219512196,-0.03257666666666664,REDUCE
football,__all__,50-55,48,21,0.4375,0.45008422619047617,0.5255895833333334,1.7266666666666666,-0.06,REDUCE
football,__all__,55-60,28,18,0.6428571428571429,0.6274619047619048,0.5735785714285714,1.5728571428571427,0.04,BOOST
football,__all__,60-65,25,13,0.52,0.5446661818181818,0.621748,1.4516,-0.06,REDUCE
football,__all__,65-70,23,18,0.782608695652174,0.7537862552594671,0.6709217391304348,1.3404347826086958,0.04,BOOST
football,__all__,70-75,13,10,0.7692307692307693,0.7529934065934066,0.7266076923076923,1.2369230769230768,0.026385714285714346,BOOST
football,__all__,75-80,4,0,0.0,0.5176999999999999,0.77655,1.1925,-0.06,REDUCE
football,__all__,80-85,3,2,0.6666666666666666,0.7704,0.8093,1.1133333333333333,-0.038900000000000046,REDUCE
